benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	rows	bytes
mariadb-0.1.7	159	381	1349277257910	24043520	4792008	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	160	366	1349277258276	24047616	6707304	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	161	364	1349277258640	24051712	4516768	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	162	366	1349277259006	24055808	6444416	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	163	370	1349277259376	24059904	4227888	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	164	374	1349277259750	24064000	6152144	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	165	371	1349277260121	24068096	3947680	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	166	372	1349277260493	24072192	5872112	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	167	404	1349277260897	24072192	7794872	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	168	410	1349277261307	24076288	5589840	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	169	410	1349277261717	24080384	7520616	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	170	369	1349277262086	24084480	5312696	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	171	378	1349277262464	24088576	7239392	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	172	366	1349277262830	24092672	5049248	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	173	369	1349277263199	24096768	6971856	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	174	366	1349277263565	24100864	4772080	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	175	371	1349277263936	24104960	6690008	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	176	364	1349277264300	24109056	4475920	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	177	368	1349277264668	24113152	6410264	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	178	362	1349277265030	24117248	4208384	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	179	366	1349277265396	24121344	6131192	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	180	424	1349277265821	24125440	3917224	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	181	429	1349277266250	24129536	5836656	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	182	407	1349277266657	24133632	7758832	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	183	380	1349277267037	24133632	5560672	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	184	364	1349277267401	24137728	7480624	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	185	372	1349277267773	24141824	5275528	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	186	368	1349277268141	24145920	7209632	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	187	363	1349277268504	24150016	4989272	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	188	369	1349277268873	24154112	6914904	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	189	366	1349277269239	24158208	4710744	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	190	373	1349277269612	24162304	6629312	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	191	365	1349277269977	24162304	4428920	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	192	368	1349277270345	24166400	6354792	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	193	371	1349277270716	24170496	4135752	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	194	367	1349277271083	24174592	6057888	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	195	370	1349277271453	24174592	7973552	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	196	373	1349277271827	24186880	5773368	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	197	366	1349277272193	24186880	7707880	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	198	366	1349277272559	24190976	5495944	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	199	366	1349277272925	24195072	7413392	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	200	371	1349277273296	24203264	5194264	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	201	375	1349277273671	24203264	7105744	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	202	369	1349277274040	24203264	4903464	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	203	364	1349277274405	24207360	6821064	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	204	371	1349277274776	24215552	4622392	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	205	370	1349277275146	24219648	6553912	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	206	372	1349277275518	24219648	4356680	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	207	392	1349277275910	24223744	6281224	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	208	369	1349277276279	24227840	4074656	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	209	368	1349277276648	24231936	5999480	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	210	363	1349277277011	24236032	7917416	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	211	367	1349277277379	24236032	5715512	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	212	369	1349277277748	24248320	7636280	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	213	364	1349277278112	24248320	5439320	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	214	363	1349277278475	24248320	7354304	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	215	367	1349277278843	24252416	5134968	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	216	364	1349277279208	24256512	7051952	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	217	374	1349277279582	24260608	4843816	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	218	371	1349277279953	24260608	6771504	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	219	369	1349277280322	24264704	4562440	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	220	366	1349277280688	24272896	6485352	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	221	372	1349277281060	24276992	4284680	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	222	372	1349277281432	24276992	6203304	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	223	371	1349277281803	24281088	3998840	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	224	365	1349277282168	24289280	5925720	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	225	390	1349277282558	24293376	7852656	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	226	412	1349277282970	24293376	5656856	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	227	406	1349277283376	24301568	7563816	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	228	402	1349277283778	24305664	5353296	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	229	365	1349277284143	24309760	7266128	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	230	365	1349277284508	24309760	5059008	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	231	373	1349277284882	24317952	6974256	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	232	365	1349277285247	24317952	4783672	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	233	369	1349277285616	24322048	6703840	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	234	368	1349277285984	24322048	4487752	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	235	364	1349277286348	24330240	6413056	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	236	366	1349277286715	24330240	4196248	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	237	363	1349277287078	24338432	6115184	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	238	367	1349277287445	24338432	8044336	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	239	410	1349277287855	24346624	5832872	15506432	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	240	415	1349277288270	24346624	7755592	15506432	0.8.11	3.11.10.22	100000	0
