benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	bytes	rows
mysql2	163	482	1349613638332	287514624	5593512	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	164	480	1349613638814	287514624	14802208	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	165	479	1349613639293	287514624	10201576	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	166	482	1349613639775	287514624	5590016	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	167	480	1349613640257	287514624	14801208	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	168	479	1349613640736	287514624	10200416	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	169	479	1349613641215	287514624	5588816	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	170	482	1349613641699	287514624	14801072	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	171	483	1349613642182	287514624	10200216	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	172	484	1349613642666	287514624	5588696	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	173	478	1349613643146	287514624	14801456	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	174	480	1349613643626	287514624	10200760	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	175	479	1349613644105	287514624	5589208	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	176	480	1349613644587	287514624	14802832	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	177	485	1349613645072	287514624	10202960	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	178	483	1349613645555	287514624	5592480	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	179	479	1349613646036	287514624	14802456	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	180	483	1349613646519	287514624	10202784	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	181	481	1349613647000	287514624	5592272	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	182	480	1349613647480	287514624	17473952	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	183	480	1349613647960	287514624	12853824	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	184	480	1349613648440	287514624	8243816	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	185	480	1349613648923	287514624	14805976	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	186	481	1349613649404	287514624	10205296	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	187	480	1349613649884	287514624	5593824	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	188	480	1349613650367	287514624	14801472	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	189	479	1349613650846	287514624	10200936	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	190	486	1349613651332	287514624	5589408	38620416	0.8.11	3.11.10.22	180821863	100000
mysql2	191	480	1349613651814	287514624	14801112	38620416	0.8.11	3.11.10.22	180821863	100000
